INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
10,2,DAMAGE,0,0,5,1049,0,33,DEFEAT
10,2,SUPPORT,0,0,6,567,3201,617,DEFEAT
10,2,SUPPORT,0,0,0,0,0,0,DEFEAT
11,1,TANK,17,7,1,6299,853,5129,VICTORY
11,1,DAMAGE,14,0,7,5797,0,175,VICTORY
11,1,DAMAGE,13,0,8,5287,0,0,VICTORY
11,1,SUPPORT,12,17,2,2140,6122,0,VICTORY
11,1,SUPPORT,5,15,2,1114,7007,383,VICTORY
11,2,TANK,0,0,0,0,0,0,DEFEAT
11,2,DAMAGE,0,0,0,0,0,0,DEFEAT
11,2,DAMAGE,0,0,0,0,0,0,DEFEAT
11,2,SUPPORT,11,5,6,6632,2717,0,DEFEAT
11,2,SUPPORT,0,11,4,60,7203,0,DEFEAT
12,1,TANK,20,1,2,10649,0,22492,VICTORY
12,1,DAMAGE,20,0,5,6483,0,878,VICTORY
12,1,DAMAGE,15,4,3,5991,0,0,VICTORY
12,1,SUPPORT,12,16,1,3487,10091,0,VICTORY
12,1,SUPPORT,5,12,1,2350,9626,468,VICTORY
12,2,TANK,3,1,5,7705,0,3416,DEFEAT
12,2,DAMAGE,7,0,3,8143,0,0,DEFEAT
12,2,DAMAGE,5,1,9,5748,448,0,DEFEAT
12,2,SUPPORT,2,7,5,1703,9680,216,DEFEAT
12,2,SUPPORT,5,6,6,2598,8560,2482,DEFEAT
13,1,TANK,40,4,8,10643,0,13376,VICTORY
13,1,DAMAGE,25,0,13,9506,72,60,VICTORY
13,1,DAMAGE,38,1,12,12778,1130,0,VICTORY
13,1,SUPPORT,17,44,5,2849,13961,0,VICTORY
13,1,SUPPORT,35,26,13,8960,9585,0,VICTORY
13,2,TANK,21,5,13,6910,562,8694,DEFEAT
13,2,DAMAGE,38,1,13,16207,0,2700,DEFEAT
13,2,DAMAGE,26,4,13,11654,0,72,DEFEAT
13,2,SUPPORT,2,26,11,790,10706,0,DEFEAT
13,2,SUPPORT,21,31,13,6178,13019,855,DEFEAT
14,1,TANK,18,4,3,5970,754,8024,VICTORY
14,1,DAMAGE,18,4,4,7899,0,0,VICTORY
14,1,DAMAGE,25,0,3,9280,0,918,VICTORY
14,1,SUPPORT,15,18,1,2126,7192,0,VICTORY
14,1,SUPPORT,21,16,0,3602,9739,0,VICTORY
14,2,TANK,6,3,8,8388,225,5925,DEFEAT
14,2,DAMAGE,7,1,7,6824,194,589,DEFEAT
14,2,DAMAGE,3,0,11,4946,0,677,DEFEAT
14,2,SUPPORT,2,4,6,2232,7066,0,DEFEAT
14,2,SUPPORT,3,4,7,2093,8239,1060,DEFEAT
15,1,TANK,19,1,4,6298,0,6821,VICTORY
15,1,DAMAGE,20,0,3,4413,0,761,VICTORY
15,1,DAMAGE,17,1,4,6011,813,0,VICTORY
15,1,SUPPORT,14,14,0,2156,4653,0,VICTORY
15,1,SUPPORT,8,14,0,1054,4513,254,VICTORY
15,2,TANK,6,1,7,4608,542,5186,DEFEAT
15,2,DAMAGE,6,0,7,4205,0,587,DEFEAT
15,2,DAMAGE,6,0,8,3618,0,242,DEFEAT
15,2,SUPPORT,4,6,8,1326,3289,177,DEFEAT
15,2,SUPPORT,1,4,6,437,5527,0,DEFEAT
16,1,TANK,23,7,7,11318,0,9540,VICTORY
16,1,DAMAGE,27,8,8,11578,0,1905,VICTORY
16,1,DAMAGE,18,6,5,7477,0,0,VICTORY
16,1,SUPPORT,20,16,3,3584,7548,0,VICTORY
16,1,SUPPORT,21,18,6,3801,8909,449,VICTORY
16,2,TANK,11,4,10,9766,1576,4815,DEFEAT
16,2,DAMAGE,18,0,11,7863,665,0,DEFEAT
16,2,DAMAGE,10,7,8,5860,1418,4679,DEFEAT
16,2,SUPPORT,5,9,6,796,11948,0,DEFEAT
16,2,SUPPORT,11,4,10,3252,4845,589,DEFEAT
17,1,TANK,27,6,7,7665,0,9629,VICTORY
17,1,DAMAGE,14,1,9,8792,0,1149,VICTORY
17,1,DAMAGE,25,4,11,11283,556,448,VICTORY
17,1,SUPPORT,15,17,5,3761,8541,0,VICTORY
17,1,SUPPORT,8,21,5,1641,12033,561,VICTORY
17,2,TANK,28,6,7,8893,0,6369,DEFEAT
17,2,DAMAGE,18,1,9,7945,206,757,DEFEAT
17,2,DAMAGE,17,4,6,8319,0,103,DEFEAT
17,2,SUPPORT,22,14,9,6629,8001,638,DEFEAT
17,2,SUPPORT,4,19,7,948,12752,180,DEFEAT
18,1,TANK,15,8,0,4814,0,3640,VICTORY
18,1,DAMAGE,12,2,1,4665,0,0,VICTORY
18,1,DAMAGE,10,0,4,5582,267,0,VICTORY
18,1,SUPPORT,5,9,0,1185,4298,234,VICTORY
18,1,SUPPORT,0,17,0,0,6598,0,VICTORY
18,2,TANK,3,0,4,3800,0,5449,DEFEAT
18,2,DAMAGE,0,0,3,1779,0,0,DEFEAT
18,2,DAMAGE,4,1,4,4506,112,154,DEFEAT
18,2,SUPPORT,1,2,5,619,4134,0,DEFEAT
18,2,SUPPORT,1,1,5,1880,2995,492,DEFEAT
19,1,TANK,34,18,3,12580,0,12164,VICTORY
19,1,DAMAGE,29,4,10,11574,89,616,VICTORY
19,1,DAMAGE,32,2,10,12780,2104,0,VICTORY
19,1,SUPPORT,10,23,7,1675,12321,482,VICTORY
19,1,SUPPORT,21,27,7,5140,14749,0,VICTORY
19,2,TANK,22,1,11,13713,0,7169,DEFEAT
19,2,DAMAGE,19,2,12,10105,288,728,DEFEAT
19,2,DAMAGE,14,2,11,10896,1942,2417,DEFEAT
19,2,SUPPORT,17,15,8,7034,12097,0,DEFEAT
19,2,SUPPORT,4,14,7,2573,10103,416,DEFEAT
20,1,TANK,37,10,3,11178,0,19589,VICTORY
20,1,DAMAGE,31,1,11,10246,0,94,VICTORY
20,1,DAMAGE,20,10,11,6680,297,250,VICTORY
20,1,SUPPORT,25,25,5,7377,16187,0,VICTORY
20,1,SUPPORT,11,26,7,1948,15471,0,VICTORY
20,2,TANK,20,1,11,12570,0,23528,DEFEAT
20,2,DAMAGE,16,0,10,7734,84,7,DEFEAT
20,2,DAMAGE,22,4,10,14989,0,0,DEFEAT
20,2,SUPPORT,11,8,12,5348,6408,1427,DEFEAT
20,2,SUPPORT,10,16,7,3872,13321,60,DEFEAT
21,1,TANK,31,11,1,7192,0,8019,VICTORY
21,1,DAMAGE,15,1,8,5278,102,40,VICTORY
21,1,DAMAGE,17,2,7,6755,0,0,VICTORY
21,1,SUPPORT,11,18,3,2209,7572,0,VICTORY
21,1,SUPPORT,21,17,2,4161,8736,1170,VICTORY
21,2,TANK,12,0,9,10854,154,10213,DEFEAT
21,2,DAMAGE,3,0,14,5406,172,22,DEFEAT
21,2,DAMAGE,10,0,7,6595,273,22,DEFEAT
21,2,SUPPORT,3,12,8,2178,6071,524,DEFEAT
21,2,SUPPORT,3,5,8,672,3683,0,DEFEAT
22,1,TANK,20,10,0,4269,0,7825,VICTORY
22,1,DAMAGE,14,0,1,6238,1120,0,VICTORY
22,1,DAMAGE,5,1,1,2524,0,0,VICTORY
22,1,SUPPORT,2,12,1,590,5822,140,VICTORY
22,1,SUPPORT,14,12,0,4285,4144,0,VICTORY
22,2,TANK,0,0,5,4593,0,7175,DEFEAT
22,2,DAMAGE,0,0,6,2431,68,100,DEFEAT
22,2,DAMAGE,3,2,7,3439,161,105,DEFEAT
22,2,SUPPORT,1,0,5,646,5937,598,DEFEAT
22,2,SUPPORT,2,0,5,2941,2114,0,DEFEAT
23,1,TANK,19,10,5,10436,0,10513,VICTORY
23,1,DAMAGE,20,2,3,6849,1648,0,VICTORY
23,1,DAMAGE,16,0,16,9298,311,1330,VICTORY
23,1,SUPPORT,4,17,4,1921,10960,375,VICTORY
23,1,SUPPORT,2,14,7,657,10497,0,VICTORY
23,2,TANK,0,0,0,0,0,0,DEFEAT
23,2,DAMAGE,13,3,8,9135,828,3579,DEFEAT
23,2,DAMAGE,22,0,7,13113,0,206,DEFEAT
23,2,SUPPORT,3,21,5,417,10190,0,DEFEAT
23,2,SUPPORT,17,15,6,5240,8120,1404,DEFEAT
24,1,TANK,28,16,2,8861,0,5789,VICTORY
24,1,DAMAGE,21,5,8,8779,1188,3058,VICTORY
24,1,DAMAGE,28,4,9,6833,0,0,VICTORY
24,1,SUPPORT,18,16,4,5817,7731,52,VICTORY
24,1,SUPPORT,11,16,5,1791,7830,0,VICTORY
24,2,TANK,12,1,8,7244,0,14621,DEFEAT
24,2,DAMAGE,11,0,13,6419,0,440,DEFEAT
24,2,DAMAGE,12,3,12,6933,75,805,DEFEAT
24,2,SUPPORT,6,8,9,3890,7978,1172,DEFEAT
24,2,SUPPORT,8,9,5,2452,8601,0,DEFEAT
25,1,TANK,37,19,2,10802,0,15684,VICTORY
25,1,DAMAGE,22,5,7,9732,479,774,VICTORY
25,1,DAMAGE,28,0,9,12651,0,1586,VICTORY
25,1,SUPPORT,1,30,7,200,11321,0,VICTORY
25,1,SUPPORT,16,23,7,4349,12332,412,VICTORY
25,2,TANK,9,0,9,7412,0,13527,DEFEAT
25,2,DAMAGE,21,0,11,8448,880,17,DEFEAT
25,2,DAMAGE,19,0,10,10881,0,1995,DEFEAT
25,2,SUPPORT,7,15,10,2493,10702,202,DEFEAT
25,2,SUPPORT,17,12,9,4791,11110,0,DEFEAT
26,1,TANK,18,6,2,7102,0,11389,VICTORY
26,1,DAMAGE,22,0,5,9145,169,0,VICTORY
26,1,DAMAGE,14,6,5,5533,646,917,VICTORY
26,1,SUPPORT,10,15,9,2711,6849,313,VICTORY
26,1,SUPPORT,0,23,5,100,7862,0,VICTORY
26,2,TANK,0,0,0,0,0,0,DEFEAT
26,2,DAMAGE,0,0,0,0,0,0,DEFEAT
26,2,DAMAGE,0,0,0,0,0,0,DEFEAT
26,2,SUPPORT,2,13,6,1921,6403,0,DEFEAT
26,2,SUPPORT,2,7,5,1638,6476,0,DEFEAT
27,1,TANK,11,1,0,2716,0,2910,VICTORY
27,1,DAMAGE,11,0,2,3004,0,0,VICTORY
27,1,DAMAGE,8,0,1,3217,0,0,VICTORY
27,1,SUPPORT,9,13,0,2102,3992,2384,VICTORY
27,1,SUPPORT,4,6,1,690,3124,375,VICTORY
27,2,TANK,1,2,3,2643,0,1145,DEFEAT
27,2,DAMAGE,2,0,4,3171,0,0,DEFEAT
27,2,DAMAGE,1,0,4,1722,0,5,DEFEAT
27,2,SUPPORT,1,3,3,124,3943,0,DEFEAT
27,2,SUPPORT,2,0,3,1397,3179,0,DEFEAT
28,1,TANK,32,14,1,11019,0,18962,VICTORY
28,1,DAMAGE,25,2,13,9671,0,1433,VICTORY
28,1,DAMAGE,27,6,11,11621,1296,0,VICTORY
28,1,SUPPORT,21,26,10,6131,12460,0,VICTORY
28,1,SUPPORT,21,23,7,5836,16592,1041,VICTORY
28,2,TANK,13,3,11,10139,0,21985,DEFEAT
28,2,DAMAGE,16,0,11,12682,0,664,DEFEAT
28,2,DAMAGE,23,2,10,16306,0,0,DEFEAT
28,2,SUPPORT,7,17,7,2628,15438,535,DEFEAT
28,2,SUPPORT,7,12,7,4108,12928,588,DEFEAT
29,1,TANK,9,3,0,3497,0,7229,VICTORY
29,1,DAMAGE,7,2,2,2721,400,539,VICTORY
29,1,DAMAGE,4,0,1,721,0,0,VICTORY
29,1,SUPPORT,1,9,2,360,4788,0,VICTORY
29,1,SUPPORT,9,5,3,3923,3661,0,VICTORY
29,2,TANK,0,0,0,0,0,0,DEFEAT
29,2,DAMAGE,6,0,3,4151,462,0,DEFEAT
29,2,DAMAGE,0,0,4,2705,0,622,DEFEAT
29,2,SUPPORT,1,6,2,772,3309,74,DEFEAT
29,2,SUPPORT,5,5,3,2377,3523,0,DEFEAT
30,1,TANK,32,10,1,10182,0,13850,VICTORY
30,1,DAMAGE,28,8,3,10186,0,0,VICTORY
30,1,DAMAGE,29,3,8,11128,0,0,VICTORY
30,1,SUPPORT,14,19,5,4195,9625,402,VICTORY
30,1,SUPPORT,10,24,6,1582,14088,1211,VICTORY
30,2,TANK,11,3,9,10442,0,17747,DEFEAT
30,2,DAMAGE,13,0,13,9099,0,1968,DEFEAT
30,2,DAMAGE,10,0,13,7736,334,684,DEFEAT
30,2,SUPPORT,1,7,7,3001,12298,767,DEFEAT
30,2,SUPPORT,6,11,11,2515,8240,140,DEFEAT
31,1,TANK,23,12,0,4003,0,7702,VICTORY
31,1,DAMAGE,13,0,3,4601,0,0,VICTORY
31,1,DAMAGE,22,0,1,6222,0,1037,VICTORY
31,1,SUPPORT,10,16,1,1654,4781,185,VICTORY
31,1,SUPPORT,2,23,0,717,7712,0,VICTORY
31,2,TANK,0,0,5,4036,0,4177,DEFEAT
31,2,DAMAGE,2,0,7,3801,0,139,DEFEAT
31,2,DAMAGE,5,0,5,5609,0,1435,DEFEAT
31,2,SUPPORT,0,2,7,286,3844,0,DEFEAT
31,2,SUPPORT,0,3,6,652,4163,28,DEFEAT
32,1,TANK,16,8,0,4548,0,3529,VICTORY
32,1,DAMAGE,13,4,0,3799,386,2070,VICTORY
32,1,DAMAGE,10,3,3,2758,0,0,VICTORY
32,1,SUPPORT,0,18,0,0,5498,0,VICTORY
32,1,SUPPORT,17,16,0,2872,4036,0,VICTORY
32,2,TANK,2,0,6,4674,353,1540,DEFEAT
32,2,DAMAGE,1,0,5,2874,254,31,DEFEAT
32,2,DAMAGE,2,0,6,3801,131,1384,DEFEAT
32,2,SUPPORT,0,2,1,354,4103,348,DEFEAT
32,2,SUPPORT,0,0,3,458,2078,173,DEFEAT
33,1,TANK,39,11,3,11131,0,7888,VICTORY
33,1,DAMAGE,22,1,8,10147,276,0,VICTORY
33,1,DAMAGE,24,11,8,9465,1171,2754,VICTORY
33,1,SUPPORT,13,21,6,3230,10883,668,VICTORY
33,1,SUPPORT,26,33,4,5565,13919,0,VICTORY
33,2,TANK,16,6,8,9566,0,9234,DEFEAT
33,2,DAMAGE,9,3,9,12984,1068,15,DEFEAT
33,2,DAMAGE,23,0,14,12562,0,771,DEFEAT
33,2,SUPPORT,4,10,13,2574,7252,615,DEFEAT
33,2,SUPPORT,5,20,9,2062,14313,0,DEFEAT
34,1,TANK,40,16,4,15593,0,5438,VICTORY
34,1,DAMAGE,27,9,5,11771,1643,0,VICTORY
34,1,DAMAGE,32,4,8,16725,110,0,VICTORY
34,1,SUPPORT,3,32,6,140,18562,0,VICTORY
34,1,SUPPORT,15,20,11,4405,10540,49,VICTORY
34,2,TANK,15,0,12,12671,0,21583,DEFEAT
34,2,DAMAGE,22,1,12,12232,1046,0,DEFEAT
34,2,DAMAGE,12,2,12,11089,593,4622,DEFEAT
34,2,SUPPORT,8,10,13,4034,12056,105,DEFEAT
34,2,SUPPORT,10,15,7,5590,14418,0,DEFEAT
35,1,TANK,29,13,3,11784,0,12396,VICTORY
35,1,DAMAGE,27,0,12,9680,0,2702,VICTORY
35,1,DAMAGE,27,6,9,12287,257,15,VICTORY
35,1,SUPPORT,5,17,3,2189,16415,570,VICTORY
35,1,SUPPORT,0,31,1,0,11032,0,VICTORY
35,2,TANK,18,4,9,12775,255,9001,DEFEAT
35,2,DAMAGE,15,0,11,7596,0,0,DEFEAT
35,2,DAMAGE,15,1,11,11733,840,209,DEFEAT
35,2,SUPPORT,4,15,8,2346,10384,258,DEFEAT
35,2,SUPPORT,7,18,8,4889,9677,3328,DEFEAT
36,1,TANK,33,10,8,13853,0,13461,VICTORY
36,1,DAMAGE,19,7,13,7874,781,0,VICTORY
36,1,DAMAGE,28,5,9,13155,875,2308,VICTORY
36,1,SUPPORT,13,31,8,3820,13571,0,VICTORY
36,1,SUPPORT,10,22,9,4469,15109,1565,VICTORY
36,2,TANK,19,2,11,12809,480,13039,DEFEAT
36,2,DAMAGE,25,1,13,15363,480,0,DEFEAT
36,2,DAMAGE,24,1,7,11094,0,0,DEFEAT
36,2,SUPPORT,11,17,10,3488,11095,1317,DEFEAT
36,2,SUPPORT,14,24,6,4426,12868,4461,DEFEAT
37,1,TANK,28,8,3,11937,0,9080,VICTORY
37,1,DAMAGE,24,0,8,11391,0,217,VICTORY
37,1,DAMAGE,29,7,4,7947,150,0,VICTORY
37,1,SUPPORT,7,25,6,1341,12322,895,VICTORY
37,1,SUPPORT,24,25,3,7506,14582,658,VICTORY
37,2,TANK,13,4,9,8046,0,14021,DEFEAT
37,2,DAMAGE,13,0,9,11390,0,0,DEFEAT
37,2,DAMAGE,13,0,10,8085,481,2021,DEFEAT
37,2,SUPPORT,8,16,7,6426,12121,6674,DEFEAT
37,2,SUPPORT,3,15,5,1408,11974,0,DEFEAT
38,1,TANK,42,14,3,11464,0,18603,VICTORY
38,1,DAMAGE,25,5,8,9676,0,1243,VICTORY
38,1,DAMAGE,34,8,9,14669,0,55,VICTORY
38,1,SUPPORT,1,38,1,320,21739,567,VICTORY
38,1,SUPPORT,26,27,3,5794,13006,245,VICTORY
38,2,TANK,10,2,10,11720,34,18310,DEFEAT
38,2,DAMAGE,14,3,20,11863,1448,0,DEFEAT
38,2,DAMAGE,13,0,17,12345,0,133,DEFEAT
38,2,SUPPORT,5,11,11,4451,9450,0,DEFEAT
38,2,SUPPORT,6,18,13,2822,10763,601,DEFEAT
39,1,TANK,16,4,0,6958,0,6436,VICTORY
39,1,DAMAGE,16,4,4,6544,384,252,VICTORY
39,1,DAMAGE,12,4,1,6015,0,0,VICTORY
39,1,SUPPORT,0,17,0,0,8806,0,VICTORY
39,1,SUPPORT,2,6,5,607,5237,131,VICTORY
39,2,TANK,3,1,4,4485,93,7549,DEFEAT
39,2,DAMAGE,4,1,6,5937,0,934,DEFEAT
39,2,DAMAGE,6,1,7,5272,0,124,DEFEAT
39,2,SUPPORT,2,3,5,1399,5257,0,DEFEAT
39,2,SUPPORT,0,4,4,989,6441,153,DEFEAT
40,1,TANK,24,9,4,10558,0,12840,VICTORY
40,1,DAMAGE,27,2,10,10078,1561,0,VICTORY
40,1,DAMAGE,28,2,6,11599,0,0,VICTORY
40,1,SUPPORT,3,23,4,550,15534,411,VICTORY
40,1,SUPPORT,9,16,5,2843,10988,616,VICTORY
40,2,TANK,11,1,9,9761,0,7136,DEFEAT
40,2,DAMAGE,15,2,13,8732,0,1085,DEFEAT
40,2,DAMAGE,10,0,9,9979,0,853,DEFEAT
40,2,SUPPORT,5,12,6,2870,9908,326,DEFEAT
40,2,SUPPORT,11,11,8,7936,9006,1188,DEFEAT
41,1,TANK,48,24,3,13040,0,11434,VICTORY
41,1,DAMAGE,37,11,11,14440,0,0,VICTORY
41,1,DAMAGE,38,6,16,13101,1087,0,VICTORY
41,1,SUPPORT,1,42,9,1270,9646,0,VICTORY
41,1,SUPPORT,12,32,7,2044,11051,795,VICTORY
41,2,TANK,14,5,14,8095,0,12146,DEFEAT
41,2,DAMAGE,28,1,17,11385,0,1942,DEFEAT
41,2,DAMAGE,23,4,18,11786,0,0,DEFEAT
41,2,SUPPORT,0,18,10,238,11078,0,DEFEAT
41,2,SUPPORT,6,15,9,3061,11193,116,DEFEAT
42,1,TANK,33,17,1,9509,0,12253,VICTORY
42,1,DAMAGE,22,3,4,9400,1468,0,VICTORY
42,1,DAMAGE,29,0,9,10417,484,684,VICTORY
42,1,SUPPORT,1,37,1,100,15295,0,VICTORY
42,1,SUPPORT,15,22,3,4029,10276,1133,VICTORY
42,2,TANK,10,1,7,9622,0,10312,DEFEAT
42,2,DAMAGE,11,0,9,10600,0,1005,DEFEAT
42,2,DAMAGE,7,0,14,8907,354,1663,DEFEAT
42,2,SUPPORT,0,12,6,0,11989,0,DEFEAT
42,2,SUPPORT,6,6,8,4732,6738,723,DEFEAT
43,1,TANK,27,6,3,11140,0,18904,VICTORY
43,1,DAMAGE,21,2,3,8455,0,0,VICTORY
43,1,DAMAGE,22,4,6,7459,86,789,VICTORY
43,1,SUPPORT,13,25,4,3564,10003,4874,VICTORY
43,1,SUPPORT,10,13,3,1356,8897,537,VICTORY
43,2,TANK,7,2,8,6973,0,4235,DEFEAT
43,2,DAMAGE,10,1,8,6919,1521,0,DEFEAT
43,2,DAMAGE,12,0,7,7396,0,0,DEFEAT
43,2,SUPPORT,4,3,5,3687,7401,956,DEFEAT
43,2,SUPPORT,3,9,9,2742,9141,2332,DEFEAT
44,1,TANK,13,2,0,7974,0,8912,VICTORY
44,1,DAMAGE,12,5,0,5362,0,0,VICTORY
44,1,DAMAGE,6,0,4,5232,81,5,VICTORY
44,1,SUPPORT,1,13,0,40,5719,0,VICTORY
44,1,SUPPORT,6,12,0,1545,8517,582,VICTORY
44,2,TANK,2,0,3,4308,0,7434,DEFEAT
44,2,DAMAGE,4,0,5,4572,0,0,DEFEAT
44,2,DAMAGE,2,1,4,5328,0,0,DEFEAT
44,2,SUPPORT,0,4,4,0,7754,0,DEFEAT
44,2,SUPPORT,1,3,2,1593,5810,1736,DEFEAT
45,1,TANK,30,9,5,13467,897,14769,VICTORY
45,1,DAMAGE,29,9,6,11383,0,0,VICTORY
45,1,DAMAGE,40,0,10,11505,0,0,VICTORY
45,1,SUPPORT,21,25,8,6071,8451,566,VICTORY
45,1,SUPPORT,15,23,7,3958,19126,1720,VICTORY
45,2,TANK,10,4,15,15047,0,11623,DEFEAT
45,2,DAMAGE,21,0,11,13064,0,1632,DEFEAT
45,2,DAMAGE,13,0,11,10443,0,116,DEFEAT
45,2,SUPPORT,8,15,9,4303,13638,0,DEFEAT
45,2,SUPPORT,5,14,13,3057,10421,113,DEFEAT
46,1,TANK,28,7,3,12751,1193,3790,VICTORY
46,1,DAMAGE,25,5,5,11276,0,0,VICTORY
46,1,DAMAGE,26,3,8,10574,488,119,VICTORY
46,1,SUPPORT,12,17,4,4056,7099,304,VICTORY
46,1,SUPPORT,5,28,3,1282,12367,0,VICTORY
